Location,Kilometers_Driven,Engine,Power,Seats,Price,Mileage(kmpl),Brand,Age,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,Model_Frequency
1,46374,1999.0,149.92,5.0,8.85,14.62,10,11.0,False,False,False,True,False,False,False,False,0.0036556995679627785
9,52001,1798.0,138.03,5.0,10.11,14.28,28,9.0,False,False,False,True,False,False,False,False,0.011299435028248588
0,58005,1991.0,112.2,5.0,4.25,14.9,10,17.0,True,False,False,False,True,False,True,False,0.0036556995679627785
1,70704,2694.0,163.7,5.0,10.95,11.25,28,13.0,False,False,False,True,True,False,False,False,0.02725157859754071
6,75000,1120.0,71.0,5.0,3.85,24.4,10,11.0,True,False,False,False,True,False,False,False,0.00980392156862745
6,75800,2498.0,105.0,5.0,5.5,16.55,17,13.0,True,False,False,False,True,False,True,False,0.0009970089730807576
7,13648,1968.0,174.33,5.0,19.625,17.11,1,10.0,True,False,False,False,False,False,False,False,0.012794948487869724
4,52000,1248.0,74.0,5.0,4.25,22.9,18,11.0,True,False,False,False,True,False,False,False,0.05865736124958458
8,53000,1248.0,75.0,5.0,3.3,17.8,18,11.0,True,False,False,False,True,False,False,False,0.05865736124958458
4,65650,1248.0,74.0,5.0,3.85,28.4,18,12.0,True,False,False,False,True,False,False,False,0.05865736124958458
2,54000,1197.0,82.0,5.0,3.6,18.9,10,10.0,False,False,False,True,True,False,False,True,0.0259222333000997
8,39000,1598.0,103.2,5.0,3.99,15.04,29,10.0,False,False,False,True,True,False,False,False,0.017779993353273512
7,16542,799.0,53.3,5.0,3.3,25.17,24,8.0,False,False,False,True,True,False,False,False,0.006646726487205052
8,32000,1197.0,78.9,5.0,2.07,20.36,10,15.0,False,False,False,True,True,False,False,False,0.0259222333000997
5,121812,1995.0,147.6,5.0,7.75,13.29,22,15.0,True,False,False,False,False,False,False,False,0.0004985044865403788
5,39300,998.0,67.1,5.0,2.25,18.2,18,15.0,False,False,False,True,True,False,False,False,0.004818876703223662
9,22000,2393.0,147.8,5.0,16.5,13.68,28,8.0,True,False,False,False,True,False,False,False,0.02725157859754071
1,72000,1399.0,68.0,5.0,2.75,20.0,8,15.0,True,False,False,False,True,False,False,False,0.016782984380192757
4,58000,1796.0,186.0,5.0,19.625,11.74,19,10.0,False,False,False,True,False,False,False,False,0.01694915254237288
10,65000,2148.0,170.0,5.0,10.0,15.8,19,14.0,True,False,False,False,True,False,True,False,0.01694915254237288
2,131500,1396.0,69.0,5.0,2.5,25.0,27,9.0,True,False,False,False,True,False,False,False,0.006646726487205052
6,65664,1968.0,140.0,5.0,13.5,16.55,1,13.0,True,False,False,False,False,False,False,False,0.012794948487869724
9,63000,1497.0,78.0,5.0,1.85,16.4,9,18.0,False,False,False,True,False,False,True,False,0.0448654037886341
3,15369,1950.0,194.0,5.0,19.625,6.499999999999998,19,6.0,True,False,False,False,False,False,False,False,0.0004985044865403788
10,63000,1248.0,88.5,5.0,8.15,24.52,18,9.0,True,False,False,False,True,False,False,False,0.012462612163509471
9,13000,1396.0,88.7,5.0,10.5,22.1,10,7.0,True,False,False,False,True,False,False,False,0.015453639082751745
9,73000,3125.5,228.075,5.0,14.5,8.5,23,17.0,False,False,False,True,False,False,False,False,0.001163177135260884
9,55729,2179.0,140.0,5.0,9.65,15.1,17,10.0,True,False,False,False,True,False,False,False,0.01877700232635427
7,45178,1197.0,78.9,5.0,3.48,16.95,10,13.0,False,False,False,True,False,False,False,False,0.0259222333000997
7,56066,1461.0,108.5,5.0,6.92,19.64,22,10.0,True,False,False,False,True,False,False,False,0.004320372216683284
3,37300,1198.0,86.8,5.0,6.46,16.5,9,9.0,False,False,False,True,False,False,True,False,0.009970089730807577
4,56000,1968.0,187.74,5.0,19.625,18.53,1,11.0,True,False,False,False,False,False,True,False,0.008142239946826188
6,111111,1399.0,97.7,5.0,2.0,17.8,8,17.0,True,False,False,False,True,False,False,False,0.006646726487205052
2,131500,1998.0,132.0,5.0,4.5,12.4,28,19.0,False,False,False,True,True,False,False,True,0.02725157859754071
5,104000,2494.0,102.0,5.0,11.75,12.8,28,13.0,True,False,False,False,True,False,False,False,0.02725157859754071
5,87591,1086.0,97.7,5.0,1.3,6.499999999999998,10,20.0,False,False,False,True,True,False,False,False,0.01296111665004985
6,95100,1248.0,74.0,5.0,3.75,22.9,18,13.0,True,False,False,False,True,False,False,False,0.05865736124958458
10,70000,1193.0,88.7,5.0,4.5,17.57,27,8.0,False,False,False,True,True,False,False,False,0.003489531405782652
7,54944,1198.0,86.7,5.0,4.82,18.0,9,9.0,False,False,False,True,True,False,False,False,0.017613825191093387
5,70337,1399.0,68.0,5.0,2.8,20.0,8,13.0,True,False,False,False,True,False,False,False,0.016782984380192757
6,99638,1248.0,73.94,5.0,3.11,23.2,18,12.0,True,False,False,False,True,False,False,False,0.010634762379528082
4,52000,1497.0,117.3,5.0,3.25,17.8,9,16.0,False,False,False,True,True,False,False,False,0.0448654037886341
4,75000,1995.0,218.0,5.0,13.9,16.73,2,14.0,True,False,False,False,False,False,True,False,0.011299435028248588
10,95980,1197.0,78.9,5.0,2.25,20.36,10,16.0,False,False,False,True,True,False,False,False,0.0259222333000997
1,16000,1197.0,82.0,5.0,5.75,18.9,10,9.0,False,False,False,True,True,False,False,False,0.0259222333000997
5,73745,1086.0,97.7,5.0,2.1,17.0,10,18.0,False,False,False,True,True,False,False,False,0.01296111665004985
9,18949,1198.0,86.7,5.0,5.0,17.8,9,9.0,False,False,False,True,True,False,False,False,0.017613825191093387
4,107000,2982.0,168.5,5.0,16.5,13.0,28,11.0,True,False,False,False,True,False,False,False,0.016782984380192757
3,48367,1968.0,174.33,5.0,19.625,17.68,1,7.0,True,False,False,False,False,False,False,False,0.008142239946826188
4,57000,1498.0,89.84,5.0,5.5,22.7,8,12.0,True,False,False,False,True,False,False,False,0.008806912595546694
4,58000,2179.0,140.0,5.0,8.1,15.1,17,11.0,True,False,False,False,True,False,False,False,0.01877700232635427
8,30000,1498.0,98.6,5.0,3.5,25.8,9,10.0,True,False,False,False,True,False,False,False,0.017613825191093387
8,34212,1199.0,73.9,5.0,2.79,22.07,29,12.0,True,False,False,False,True,False,False,False,0.02509139248919907
0,70002,1493.0,110.0,5.0,3.45,16.2,10,15.0,True,False,False,False,True,False,False,False,0.02824858757062147
1,62000,998.0,67.1,5.0,4.45,18.9,18,9.0,False,False,False,True,True,False,False,False,0.02558989697573945
4,62001,1598.0,103.5,5.0,2.65,15.26,29,15.0,False,False,False,True,True,False,False,False,0.02509139248919907
10,78958,1396.0,90.0,5.0,3.8,23.0,10,14.0,True,False,False,False,True,False,True,False,0.041043536058491197
9,30180,1197.0,82.85,5.0,4.65,18.5,10,11.0,False,False,False,True,True,False,False,False,0.041043536058491197
10,32851,1198.0,67.0,5.0,3.95,19.83,5,8.0,False,False,False,True,True,False,False,False,0.0009970089730807576
8,30000,2967.0,228.075,5.0,9.8,14.94,1,15.0,True,False,False,False,False,False,False,False,0.012794948487869724
10,66000,1197.0,80.0,5.0,2.7,17.0,10,16.0,False,False,False,True,True,False,True,False,0.041043536058491197
3,93850,796.0,35.0,5.0,2.41,14.0,18,15.0,False,False,False,True,True,False,False,False,0.003323363243602526
0,53000,1197.0,78.9,5.0,3.9,17.71,28,11.0,False,False,False,True,True,False,False,False,0.010136257892987704
5,78000,2993.0,228.075,5.0,19.625,14.74,13,14.0,True,False,False,False,False,False,True,False,0.004985044865403789
4,65000,2179.0,140.0,5.0,5.75,16.0,17,13.0,True,False,False,False,True,False,True,False,0.01877700232635427
8,40000,1582.0,126.32,5.0,5.25,22.32,10,11.0,True,False,False,False,False,False,False,False,0.02824858757062147
9,30000,2755.0,171.5,5.0,19.25,11.36,28,8.0,True,False,False,False,False,False,False,False,0.02725157859754071
3,38053,1196.0,73.0,5.0,3.91,15.1,18,8.0,False,False,False,True,True,False,False,False,0.0029910269192422734
1,25500,624.0,37.5,5.0,2.15,25.4,27,11.0,False,False,False,True,True,False,False,False,0.004154204054503157
9,56087,1995.0,190.0,5.0,19.625,22.69,2,10.0,True,False,False,False,False,False,False,False,0.016284479893652375
4,71088,1799.0,130.0,5.0,3.35,13.5,9,15.0,False,False,False,True,True,False,False,False,0.005317381189764041
0,55000,2494.0,100.6,5.0,11.11,12.99,28,11.0,True,False,False,False,True,False,False,False,0.02725157859754071
1,32700,1984.0,150.0,5.0,19.625,23.3,30,11.0,True,False,False,False,False,False,False,False,0.0006646726487205051
3,39882,1198.0,75.94,5.0,6.55,19.15,22,9.0,False,False,False,True,False,False,False,False,0.005483549351944167
9,128000,2497.0,215.0,5.0,7.0,10.8,2,16.0,False,False,False,True,False,False,False,False,0.011299435028248588
9,55000,1248.0,88.5,5.0,7.5,24.3,18,9.0,True,False,False,False,True,False,False,False,0.0071452309737454305
9,102000,1086.0,97.7,5.0,0.85,17.0,10,20.0,False,False,False,True,True,False,True,False,0.01296111665004985
10,53753,2143.0,107.3,5.0,16.75,15.0,19,11.0,True,False,False,False,False,False,True,False,0.0019940179461615153
8,10250,1582.0,126.2,5.0,10.95,22.0,10,7.0,True,False,False,False,True,False,False,False,0.02824858757062147
10,43874,998.0,67.1,5.0,2.45,18.9,18,14.0,False,False,False,True,True,False,False,False,0.02558989697573945
3,32684,624.0,37.48,5.0,3.23,21.9,27,8.0,False,False,False,True,False,False,False,False,0.004154204054503157
8,42000,2179.0,120.0,5.0,7.75,12.05,17,11.0,True,False,False,False,True,False,False,False,0.010136257892987704
8,28352,1796.0,178.0,5.0,9.35,11.7,19,16.0,False,False,False,True,False,False,False,False,0.01694915254237288
10,89900,998.0,58.16,5.0,3.25,29.860000000000003,18,12.0,False,False,False,False,True,False,False,False,0.02558989697573945
1,47700,2354.0,152.0,5.0,5.25,10.8,9,18.0,False,False,False,True,True,False,True,False,0.00448654037886341
10,55000,1498.0,103.2,5.0,7.25,21.21,29,10.0,True,False,False,False,False,False,False,False,0.017779993353273512
7,44285,1373.0,91.1,5.0,7.47,20.73,18,8.0,False,False,False,True,True,False,False,False,0.011797939514788967
6,54000,2179.0,140.0,5.0,13.25,16.0,17,9.0,True,False,False,False,False,False,False,False,0.01877700232635427
3,30232,1197.0,85.8,5.0,5.81,21.1,18,9.0,False,False,False,True,True,False,False,False,0.010634762379528082
5,88500,998.0,67.1,5.0,2.6,24.07,18,11.0,False,False,False,True,True,False,False,False,0.02376204719175806
8,13372,2996.0,228.075,5.0,19.625,19.0,19,8.0,False,False,False,True,False,False,False,False,0.00033233632436025255
7,12645,1591.0,121.3,5.0,11.5,17.0,10,6.0,False,False,False,True,False,False,False,False,0.02824858757062147
2,94385,796.0,46.3,5.0,1.6,19.7,18,15.0,False,False,False,True,True,False,True,False,0.02376204719175806
3,31821,1995.0,143.0,5.0,17.22,20.58,2,10.0,True,False,False,False,False,False,False,False,0.0004985044865403788
9,12000,1199.0,88.7,5.0,6.0,19.0,9,10.0,False,False,False,True,False,False,False,False,0.009637753406447324
4,88578,1799.0,130.0,5.0,3.95,13.5,9,13.0,False,False,False,True,True,False,False,False,0.005317381189764041
7,44965,2143.0,170.0,5.0,17.95,19.27,19,11.0,True,False,False,False,False,False,False,False,0.01694915254237288
8,45044,1498.0,98.6,5.0,3.7,25.8,9,11.0,True,False,False,False,True,False,False,False,0.017613825191093387
7,34204,1197.0,81.8,5.0,5.43,22.0,18,9.0,False,False,False,True,True,False,False,False,0.05865736124958458
7,80759,1086.0,97.7,5.0,1.67,17.0,10,17.0,False,False,False,True,True,False,False,True,0.01296111665004985
3,91235,2982.0,171.0,5.0,13.49,11.5,28,13.0,True,False,False,False,True,False,False,False,0.016782984380192757
10,38800,1199.0,76.8,5.0,2.85,18.6,4,11.0,False,False,False,True,True,False,False,False,0.007643735460285809
2,83000,1498.0,103.52,5.0,4.75,21.14,25,12.0,True,False,False,False,True,False,False,False,0.0078099036224659356
7,41283,1373.0,91.1,5.0,9.9,20.73,18,7.0,False,False,False,True,True,False,False,False,0.011797939514788967
9,23000,2894.0,228.075,5.0,19.625,11.05,1,12.0,False,False,False,True,False,False,False,False,0.00033233632436025255
9,48000,1995.0,190.0,5.0,19.625,21.76,2,11.0,True,False,False,False,False,False,False,False,0.016284479893652375
3,48214,1968.0,174.33,5.0,19.625,17.11,1,10.0,True,False,False,False,False,False,False,False,0.012794948487869724
2,35000,1248.0,74.0,5.0,6.25,22.9,18,9.0,True,False,False,False,True,False,False,False,0.05865736124958458
8,35277,3125.5,228.075,5.0,19.625,7.81,19,15.0,False,False,False,True,False,False,False,False,0.002824858757062147
3,54620,1498.0,103.52,5.0,9.86,21.66,25,9.0,True,False,False,False,False,False,False,False,0.0078099036224659356
10,131500,1968.0,138.1,5.0,8.5,17.2,25,13.0,True,False,False,False,False,False,False,False,0.008142239946826188
7,14322,814.0,55.2,5.0,4.23,21.1,10,6.0,False,False,False,True,True,False,False,False,0.010136257892987704
6,65634,1199.0,73.9,5.0,3.5,22.07,29,13.0,True,False,False,False,True,False,False,False,0.02509139248919907
8,6000,1198.0,67.06,5.0,2.5,20.63,5,9.0,False,False,False,True,True,False,False,False,0.0009970089730807576
8,33280,1198.0,86.8,5.0,2.39,19.4,9,12.0,False,False,False,True,True,False,False,False,0.009970089730807577
4,29000,1595.0,120.7,5.0,11.25,14.8,19,12.0,False,False,False,True,False,False,False,False,0.0019940179461615153
7,42831,1498.0,98.6,5.0,7.11,26.0,9,10.0,True,False,False,False,True,False,False,False,0.0448654037886341
0,90000,2494.0,100.6,5.0,10.9,12.99,28,9.0,True,False,False,False,True,False,False,False,0.02725157859754071
0,24005,1197.0,81.8,5.0,6.2,20.4,18,8.0,False,False,False,True,True,False,False,False,0.05865736124958458
9,32792,2179.0,140.0,5.0,7.9,15.1,17,13.0,True,False,False,False,True,False,False,False,0.01877700232635427
7,131500,1498.0,89.84,5.0,4.42,22.7,8,11.0,True,False,False,False,True,False,False,False,0.008806912595546694
9,131500,2982.0,168.5,5.0,13.5,13.0,28,13.0,True,False,False,False,True,False,False,False,0.016782984380192757
2,65000,1498.0,108.5,5.0,6.25,21.5,29,12.0,True,False,False,False,False,False,False,False,0.017779993353273512
6,66123,1399.0,68.0,5.0,2.1,20.0,8,15.0,True,False,False,False,True,False,True,False,0.016782984380192757
9,41000,2993.0,228.075,5.0,19.625,15.3,2,10.0,True,False,False,False,False,False,False,False,0.003988035892323031
3,23550,2143.0,167.62,5.0,19.625,19.27,19,8.0,True,False,False,False,False,False,False,False,0.01694915254237288
1,45000,1198.0,86.8,5.0,3.65,19.4,9,13.0,False,False,False,True,True,False,True,False,0.009970089730807577
4,60000,1197.0,78.9,5.0,2.75,20.36,10,12.0,False,False,False,True,True,False,False,False,0.0259222333000997
1,44414,2143.0,170.0,5.0,19.625,17.9,19,9.0,True,False,False,False,False,False,False,False,0.0013293452974410102
8,1000,1197.0,81.86,5.0,6.5,18.9,10,6.0,False,False,False,True,True,False,False,False,0.0259222333000997
9,62500,1968.0,174.33,5.0,19.0,17.68,1,13.0,True,False,False,False,False,False,True,False,0.008142239946826188
9,21000,1598.0,103.6,5.0,4.45,14.4,29,12.0,False,False,False,True,False,False,True,False,0.017779993353273512
6,8525,1998.0,112.0,5.0,19.625,16.6,20,8.0,True,False,False,False,False,False,True,False,0.00016616816218012627
1,29000,1396.0,88.73,5.0,8.35,22.54,10,11.0,True,False,False,False,True,False,False,False,0.041043536058491197
9,40000,1968.0,174.33,5.0,19.625,17.68,1,11.0,True,False,False,False,False,False,False,False,0.008142239946826188
6,88000,936.0,57.6,5.0,1.5,25.44,4,13.0,True,False,False,False,True,False,False,False,0.007643735460285809
7,53537,1798.0,157.75,5.0,6.89,13.7,25,13.0,False,False,False,True,False,False,False,False,0.008142239946826188
2,131500,1399.0,68.0,5.0,1.45,17.8,8,19.0,True,False,False,False,True,False,True,False,0.006646726487205052
5,51000,1995.0,190.0,5.0,19.625,22.48,2,11.0,True,False,False,False,False,False,False,False,0.011299435028248588
6,118500,1598.0,102.5,5.0,1.25,12.9,4,18.0,False,False,False,True,True,False,False,False,0.0019940179461615153
5,63000,1199.0,73.9,5.0,4.2,22.07,29,13.0,True,False,False,False,True,False,False,False,0.02509139248919907
9,25000,1461.0,108.5,5.0,6.75,19.98,24,10.0,True,False,False,False,True,False,False,False,0.00033233632436025255
1,37382,2143.0,201.1,5.0,19.625,13.0,19,11.0,True,False,False,False,False,False,False,False,0.014622798271851114
7,24773,1197.0,83.1,5.0,7.5,21.4,18,8.0,False,False,False,True,True,False,False,False,0.010468594217347957
4,62000,1582.0,126.32,5.0,4.6,22.32,10,13.0,True,False,False,False,True,False,False,False,0.02824858757062147
7,52340,1086.0,68.05,5.0,4.04,19.81,10,8.0,False,False,False,True,True,False,False,False,0.0259222333000997
7,56739,1997.0,120.0,5.0,10.31,15.4,17,9.0,True,False,False,False,True,False,False,False,0.010136257892987704
3,36091,2179.0,187.7,5.0,19.625,12.7,16,7.0,True,False,False,False,False,False,False,False,0.009970089730807577
2,120000,1399.0,68.0,5.0,2.6,20.0,8,15.0,True,False,False,False,True,False,False,False,0.016782984380192757
9,33000,1248.0,88.5,5.0,8.5,25.47,18,9.0,True,False,False,False,True,False,False,False,0.012462612163509471
0,60006,1493.0,97.7,5.0,2.95,6.499999999999998,9,18.0,False,False,False,True,True,False,False,False,0.0448654037886341
8,52000,1498.0,98.6,5.0,3.5,25.8,9,11.0,True,False,False,False,True,False,False,False,0.017613825191093387
6,43571,1197.0,78.9,5.0,3.55,20.36,10,10.0,False,False,False,True,True,False,False,False,0.0259222333000997
8,50000,1498.0,98.6,5.0,3.25,25.8,9,12.0,True,False,False,False,True,False,False,False,0.017613825191093387
5,113000,1896.0,106.0,5.0,4.5,17.5,25,17.0,True,False,False,False,True,False,False,False,0.004818876703223662
4,90000,1461.0,83.8,5.0,5.35,19.87,24,11.0,True,False,False,False,True,False,False,False,0.013791957460950481
2,29000,1493.0,100.0,5.0,6.5,17.45,17,8.0,True,False,False,False,True,False,True,False,0.0004985044865403788
9,20000,1248.0,88.5,5.0,9.0,24.3,18,9.0,True,False,False,False,True,False,False,False,0.0071452309737454305
7,61012,1197.0,81.83,5.0,6.0,18.6,10,9.0,False,False,False,True,True,False,False,False,0.041043536058491197
6,87459,1390.0,85.0,5.0,2.75,14.7,25,16.0,False,False,False,True,True,False,False,False,0.0018278497839813892
10,70500,1193.0,64.1,5.0,1.5,15.64,27,15.0,False,False,False,True,True,False,False,False,0.005151213027583915
4,64103,1968.0,174.33,5.0,19.625,15.73,1,10.0,True,False,False,False,False,False,False,False,0.00448654037886341
9,76000,1798.0,177.5,5.0,10.0,14.7,25,11.0,False,False,False,True,False,False,False,False,0.005151213027583915
4,104000,1364.0,67.06,5.0,3.0,23.59,28,11.0,True,False,False,False,True,False,False,False,0.010136257892987704
8,42001,1493.0,97.7,5.0,2.11,16.1,18,15.0,False,False,False,True,True,False,False,False,0.05865736124958458
7,37245,1595.0,120.7,5.0,11.96,14.8,19,11.0,False,False,False,True,False,False,False,False,0.0019940179461615153
8,45000,1498.0,98.6,5.0,3.25,27.4,9,12.0,True,False,False,False,True,False,False,False,0.017613825191093387
6,117837,1582.0,126.32,5.0,4.75,22.32,10,13.0,True,False,False,False,True,False,True,False,0.02824858757062147
9,30000,1461.0,83.8,5.0,5.95,20.46,24,11.0,True,False,False,False,True,False,False,False,0.013791957460950481
4,27057,1591.0,121.3,5.0,8.15,15.29,10,10.0,False,False,False,True,True,False,True,False,0.015453639082751745
9,8500,998.0,67.0,5.0,4.22,20.51,18,9.0,False,False,False,True,False,False,False,False,0.02558989697573945
8,30500,1796.0,186.0,5.0,10.5,11.74,19,15.0,False,False,False,True,False,False,False,False,0.01694915254237288
4,56000,2967.0,228.075,5.0,19.625,11.8,1,13.0,True,False,False,False,False,False,False,False,0.00033233632436025255
10,44000,1086.0,68.05,5.0,2.9,19.81,10,13.0,False,False,False,True,True,False,True,False,0.0259222333000997
9,10500,1598.0,103.52,5.0,8.9,14.3,25,8.0,False,False,False,True,False,False,False,False,0.0078099036224659356
5,26000,1798.0,177.46,5.0,19.625,14.67,25,8.0,False,False,False,True,False,False,False,False,0.008142239946826188
3,25166,1197.0,81.86,5.0,8.22,17.19,10,7.0,False,False,False,True,True,False,False,False,0.041043536058491197
8,64000,1498.0,98.6,5.0,3.5,25.8,9,11.0,True,False,False,False,True,False,True,False,0.017613825191093387
2,61000,998.0,67.1,5.0,1.25,18.9,18,21.0,False,False,False,True,True,False,True,False,0.02558989697573945
5,107000,1461.0,65.0,5.0,3.7,21.03,17,12.0,True,False,False,False,True,False,False,False,0.0006646726487205051
3,29161,2143.0,167.62,5.0,19.625,19.27,19,7.0,True,False,False,False,False,False,False,False,0.01694915254237288
8,32000,998.0,67.04,5.0,2.65,22.5,18,12.0,False,False,False,True,True,False,False,False,0.02558989697573945
3,46173,1461.0,108.5,5.0,8.92,19.01,22,10.0,True,False,False,False,True,False,True,False,0.004320372216683284
4,47000,1248.0,97.7,5.0,4.1,17.8,18,12.0,True,False,False,False,True,False,False,False,0.05865736124958458
7,26327,1998.0,189.08,5.0,19.625,16.82,20,8.0,False,False,False,True,False,False,False,False,0.003988035892323031
1,70436,1498.0,99.0,5.0,3.6,6.499999999999998,8,10.0,True,False,False,False,True,False,False,False,0.016782984380192757
6,131500,1396.0,53.5,5.0,0.85,17.2,27,18.0,True,False,False,False,True,False,True,False,0.006646726487205052
7,60813,1199.0,76.8,5.0,3.32,18.6,4,9.0,False,False,False,True,True,False,True,False,0.007643735460285809
9,45000,1199.0,73.9,5.0,3.6,22.07,29,13.0,True,False,False,False,True,False,False,False,0.02509139248919907
5,64000,1248.0,74.0,5.0,6.8,22.9,18,9.0,True,False,False,False,True,False,False,False,0.05865736124958458
8,41284,1399.0,68.05,5.0,2.5,20.0,8,13.0,True,False,False,False,True,False,False,False,0.016782984380192757
7,14165,2755.0,171.5,5.0,19.625,11.36,28,6.0,True,False,False,False,False,False,False,False,0.02725157859754071
9,67000,2199.0,194.3,5.0,7.0,11.72,10,14.0,True,False,False,False,False,False,True,False,0.002824858757062147
8,32572,1497.0,117.3,5.0,3.87,17.4,9,14.0,False,False,False,True,True,False,False,False,0.0448654037886341
7,14960,1197.0,81.83,5.0,6.27,18.6,10,7.0,False,False,False,True,True,False,False,False,0.041043536058491197
